Gene	3487863B11	3487863B7	5002497A10_merged	5002497A10	5002497A8	5016492A2	5016492A7	5020323_merged	5020323	5033367A3_merged	5033367A3	5033367A9	5046835B3	5046835B4	5081237A2	5081237A8	5092612	5116685_merged	5116685	5128646	FFPE_BRA_5002497A10-2_S3	FFPE_BRA_5020323-1_S4	FFPE_BRA_5033367A3-2_S1	FFPE_BRA_5116685-1_S6
ERV316A3_21q22.11a	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0
ERV316A3_21q22.11b	0	0	0	0	0	9	0	0	0	4	0	0	6	0	5	0	38	0	0	5	0	0	4	0
ERV316A3_21q22.3e	0	0	4	3	9	15	1	1	1	7	0	42	3	0	0	0	127	0	0	7	1	0	7	0
ERV316A3_22q11.21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERV316A3_22q13.1	0	0	0	0	2	0	0	4	2	0	0	8	0	0	0	0	9	0	0	0	0	2	0	0
ERV316A3_22q13.33a	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0
ERV316A3_2p11.2c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERV316A3_2p22.3c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERV316A3_2p22.3h	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERV316A3_2p23.3b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERV316A3_2p24.1d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERV316A3_2q14.1a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERV316A3_2q14.1f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERV316A3_2q21.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERV316A3_2q22.1a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2
ERV316A3_2q22.2b	0	0	0	0	4	4	0	0	0	4	4	0	0	0	0	0	13	0	0	0	0	0	0	0
ERV316A3_2q23.3a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERV316A3_2q24.1d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERV316A3_2q24.2c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERV316A3_2q33.2	6	2	13	13	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ERV316A3_2q33.3a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERV316A3_2q34a	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0
ERV316A3_2q34b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERV316A3_2q35h	0	5	0	0	0	2	1	0	0	0	0	0	6	0	0	0	16	7	5	6	0	0	0	2
ERV316A3_2q37.3a	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
ERV316A3_3p12.2b	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0
ERV316A3_3p12.2c	0	0	0	0	0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERV316A3_3p12.2d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERV316A3_3p21.1b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERV316A3_3p25.2c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERV316A3_3p25.2d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERV316A3_3q13.12a	0	0	0	0	0	11	0	0	0	0	0	0	17	0	0	0	0	0	0	3	0	0	0	0
ERV316A3_3q22.3a	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
ERV316A3_3q22.3b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERV316A3_3q22.3c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERV316A3_3q25.2a	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0
ERV316A3_3q25.2c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERV316A3_3q27.1a	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ERV316A3_3q27.1b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERV316A3_3q27.3d	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	13	0	0	0	0	0	0	0
ERV316A3_3q28c	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERV316A3_4p12d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERV316A3_4p15.1k	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERV316A3_4p15.1m	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERV316A3_4p15.2d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERV316A3_4p15.2e	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ERV316A3_4p15.2h	7	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERV316A3_4p15.31a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERV316A3_4p16.3a	0	0	0	0	1	4	2	0	0	5	0	0	0	0	0	0	32	1	1	0	0	0	5	0
ERV316A3_4q12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERV316A3_4q13.1c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERV316A3_4q13.2c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERV316A3_4q21.1j	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
ERV316A3_4q24c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERV316A3_4q24g	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERV316A3_4q25d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERV316A3_4q26e	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	1	0	0	0	0	0	1
ERV316A3_4q28.3e	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERV316A3_4q28.3r	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERV316A3_4q31.23d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
ERV316A3_4q32.1c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERV316A3_4q32.1f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERV316A3_4q32.1h	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0
ERV316A3_4q32.1j	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
ERV316A3_4q32.3b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERV316A3_4q32.3c	0	0	0	0	0	0	0	0	0	0	0	3	5	11	0	0	5	0	0	3	0	0	0	0
ERV316A3_4q34.3b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERV316A3_5p12b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERV316A3_5p14.1d	0	0	0	0	0	0	0	0	0	9	9	0	0	0	0	0	0	0	0	0	0	0	0	0
ERV316A3_5p14.3i	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERV316A3_5p14.3k	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERV316A3_5p15.33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERV316A3_5q11.2e	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERV316A3_5q11.2g	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERV316A3_5q12.3d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERV316A3_5q13.2c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ERV316A3_5q14.1	0	0	5	5	3	8	1	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0
ERV316A3_5q14.3a	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERV316A3_5q14.3e	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERV316A3_5q14.3j	5	0	0	0	0	5	0	2	0	0	0	0	9	0	0	0	0	0	0	0	0	2	0	0
ERV316A3_5q23.2b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERV316A3_5q23.2d	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERV316A3_5q23.2f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	6
ERV316A3_5q23.2g	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERV316A3_5q31.3b	0	0	0	0	0	2	0	0	0	3	0	0	0	0	0	0	14	0	0	0	0	0	3	0
ERV316A3_5q31.3c	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERV316A3_5q31.3d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERV316A3_5q35.2a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
